"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.476916083E0,-1.840154434E0,-1.704618899E0,1.143235910E-1,2.510968700E0
1.486874083E0,-3.089434862E-2,-4.354187608E-1,-1.800375826E0,1.852538008E0
1.496833083E0,1.461712697E0,1.200437467E0,-3.191771369E0,3.710129188E0
1.506791083E0,2.022827298E0,2.317532229E0,-3.913864202E0,4.978063771E0
1.516750083E0,8.873553210E-1,1.979376639E0,-4.424950612E0,4.928034016E0
1.526708083E0,-6.053084421E-1,1.507993116E0,-3.564127909E0,3.917071521E0
1.536667083E0,-2.460155175E0,1.261730905E0,-1.912946422E0,3.362096425E0
1.546625083E0,-3.825116333E0,2.715961504E-1,-4.321677089E-1,3.859021684E0
1.556584083E0,-3.559118307E0,-7.414792773E-1,1.579651621E-1,3.638965187E0
1.566543083E0,-2.543518928E0,-2.632429935E0,-2.582890570E-1,3.669589778E0
1.576501083E0,-1.168076636E0,-2.054309877E0,1.363163724E0,2.728150919E0
1.586460083E0,5.507387173E-1,1.262347201E0,4.036239409E-1,1.435181479E0
1.596418083E0,1.678150308E0,8.972552419E-1,-6.721511802E-1,2.018178048E0
1.606377083E0,1.694537714E0,-7.917583153E-1,9.727713011E-1,2.108227525E0
1.616335083E0,2.147636116E0,-1.241270035E0,1.373734759E0,2.835531586E0
1.626294083E0,2.581621724E0,-1.387735478E0,1.171791372E0,3.156529028E0
1.636252083E0,1.519662112E0,-9.260749984E-1,1.673465518E0,2.442841517E0
1.646211083E0,-2.451626426E-1,2.043543398E-1,2.191983008E0,2.215097046E0
1.656169083E0,-6.698973709E-1,1.622183975E0,2.253649060E0,2.856427388E0
1.666128083E0,-1.742738067E0,2.738028603E0,1.691183167E0,3.659786484E0
1.676086083E0,-2.144948151E0,2.704234913E0,2.111907874E0,4.046460664E0
1.686045083E0,-1.444971533E0,2.212832571E0,1.275352578E0,2.934466718E0
1.696003083E0,-1.387947732E0,2.351166291E0,1.420054793E-2,2.730308314E0
1.705962083E0,-2.080679065E0,2.330951589E0,1.160321474E-2,3.124531216E0
1.715920083E0,-2.439395220E0,1.820205781E0,-6.945441524E-2,3.044441170E0
1.725879083E0,-3.290748065E0,1.718088252E0,2.562694105E-1,3.721091786E0
1.735838083E0,-4.367374833E0,1.705038436E0,1.657578633E0,4.972794579E0
1.745796083E0,-4.827757112E0,1.297079077E0,3.357955377E0,6.022085783E0
1.755755083E0,-5.660569021E0,1.112270225E0,3.852656718E0,6.937013081E0
1.765713083E0,-5.653388055E0,1.232212991E-1,3.983615638E0,6.917020568E0
1.775672083E0,-5.031260097E0,-2.124916760E0,3.582400750E0,6.531649450E0
1.785630083E0,-3.911225354E0,-3.801221686E0,2.586317039E0,6.036224474E0
1.795589083E0,-2.728151194E0,-1.884555851E0,2.091488228E0,3.920291150E0
1.805547083E0,-3.651996065E0,-2.457578307E0,2.512223461E0,5.068336325E0
1.815506083E0,-4.929045505E0,-3.442644110E0,2.689783520E0,6.586518309E0
1.825464083E0,-5.458383413E0,-3.446530754E0,1.949694710E0,6.743428889E0
1.835423083E0,-5.303939736E0,-4.161345266E0,5.839522178E-1,6.766799195E0
1.845381083E0,-5.617841662E0,-4.435864440E0,-4.564804316E-2,7.158150739E0
1.855340083E0,-5.595810522E0,-1.959572704E0,-2.004133165E-1,5.932384519E0
1.865298083E0,-4.962878079E0,1.080722158E0,-7.445446801E-1,5.133465301E0
1.875257083E0,-4.505044602E0,2.281306390E0,-1.949134254E-1,5.053491561E0
1.885215083E0,-4.056652039E0,1.920217434E0,1.056637550E0,4.610872333E0
1.895174083E0,-3.845096853E0,5.360715616E-1,1.894289857E0,4.319777378E0
1.905133083E0,-3.607982903E0,-4.431902951E-1,2.241371222E0,4.270562401E0
1.915091083E0,-3.191186355E0,-5.221978730E-1,1.359161890E0,3.507660475E0
1.925050083E0,-2.455417761E0,-2.911533326E-2,4.507584194E-1,2.496619161E0
1.935008083E0,-1.643547070E0,7.996394849E-1,-1.982183083E-1,1.838466963E0
1.944967083E0,-3.160905379E-1,1.521240276E0,-5.675436151E-1,1.654143573E0
1.954925083E0,8.821021825E-1,1.407842299E0,-1.079555054E0,1.981303438E0
1.964884083E0,1.714975487E0,1.225400107E0,-1.545801505E0,2.613857042E0
1.974842083E0,2.568219906E0,1.017031654E0,-1.915601642E0,3.361493198E0
1.984801083E0,2.985981245E0,1.218063313E0,-2.266072639E0,3.941427081E0
1.994759083E0,3.276048750E0,3.073695912E0,-3.042106329E0,5.425358319E0
2.004718083E0,2.448803390E0,4.080896934E0,-5.006275529E0,6.907470775E0
2.014676083E0,-1.112409389E-1,2.803787853E0,-6.445788687E0,7.030063489E0
2.024635083E0,1.273373880E0,1.685454942E0,-6.762991950E0,7.085216970E0
2.034593083E0,1.428548459E0,8.872670281E-1,-5.464966793E0,5.717854102E0
