"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.308611917E0,1.093197777E1,2.454837951E1,2.094346201E0,2.695398598E1
2.318534917E0,1.204846618E1,1.688382233E1,2.352331349E0,2.087492411E1
2.328458917E0,8.672614814E0,1.183999072E1,-5.338819255E-1,1.468620638E1
2.338381917E0,4.040326906E0,1.007896490E1,-1.287513617E0,1.093469096E1
2.348305917E0,6.301145236E-1,9.753888364E0,-5.421749584E-1,9.789245948E0
2.358229917E0,-1.194171590E0,9.381610762E0,7.221111795E-1,9.484835836E0
2.368152917E0,-1.497994816E0,8.187738549E0,1.360641235E0,8.434120914E0
2.378076917E0,-4.765337500E-1,5.967037965E0,1.784152726E0,6.246265079E0
2.387999917E0,4.842659618E-1,3.575395201E0,2.152205715E0,4.201184810E0
2.397923917E0,8.487672061E-1,1.219170776E0,2.337412763E0,2.769527320E0
2.407846917E0,3.928875759E-1,-7.306002402E-1,2.166420296E0,2.319809100E0
2.417770917E0,-3.528723018E-1,-2.380618424E0,1.624271139E0,2.903466837E0
2.427694917E0,-8.537557581E-1,-3.644673597E0,1.015709306E0,3.878686622E0
2.437617917E0,-9.655687009E-1,-4.824071027E0,6.551559556E-1,4.963185823E0
2.447541917E0,-8.421256462E-1,-6.102884572E0,5.318890482E-1,6.183630136E0
2.457464917E0,-5.716849787E-1,-7.507764671E0,4.270209897E-1,7.541598040E0
2.467388917E0,-2.746943342E-1,-9.037400379E0,1.406138420E-1,9.042667463E0
2.477311917E0,6.117265653E-2,-1.014216512E1,-2.094168591E-1,1.014451136E1
2.487235917E0,4.213512370E-1,-1.088712027E1,-1.085992838E0,1.094926048E1
2.497159917E0,6.710232523E-1,-1.129591432E1,-1.717421962E0,1.144541353E1
2.507082917E0,8.222202623E-1,-1.168673169E1,-1.683346728E0,1.183593680E1
2.517006917E0,9.882554591E-1,-1.188183340E1,-1.331022749E0,1.199692608E1
2.526929917E0,1.220479675E0,-1.204597059E1,-7.629879677E-1,1.213165812E1
2.536853917E0,1.351969522E0,-1.209898144E1,-3.714899826E-1,1.217994985E1
2.546777917E0,1.341278180E0,-1.195766594E1,-3.195865881E-1,1.203689899E1
2.556700917E0,1.222051699E0,-1.181126920E1,-3.777038187E-1,1.188032620E1
2.566624917E0,1.000447854E0,-1.156601008E1,-3.723910020E-1,1.161516939E1
2.576547917E0,5.862522932E-1,-1.112002891E1,-4.922782918E-1,1.114634795E1
2.586471917E0,3.490948543E-2,-1.061718005E1,-6.174186835E-1,1.063517451E1
2.596394917E0,-4.870395155E-1,-1.014529221E1,-6.506091607E-1,1.017779219E1
2.606318917E0,-8.857307453E-1,-9.670643894E0,-5.318621876E-1,9.725674767E0
2.616242917E0,-1.232881473E0,-9.052357557E0,-4.638117436E-1,9.147693447E0
2.626165917E0,-1.621372089E0,-8.288049288E0,-2.737040716E-1,8.449587112E0
2.636089917E0,-1.910422325E0,-7.296747429E0,-4.675828323E-2,7.542839177E0
2.646012917E0,-2.065602019E0,-6.414504914E0,-4.957409763E-1,6.757095834E0
2.655936917E0,-2.143457111E0,-6.161043903E0,-1.840182500E0,6.777841986E0
2.665860917E0,-2.235198171E0,-5.411257778E0,-1.610866982E0,6.072290675E0
2.675783917E0,-2.938164762E0,-2.269164646E0,3.157304079E0,4.873447384E0
2.685707917E0,-3.395258859E0,2.626306146E0,9.617937677E0,1.053233079E1
2.695630917E0,-2.116544132E0,3.313677921E0,5.313351415E0,6.609986663E0
2.705554917E0,-1.116323515E0,1.890962645E0,-4.365998983E0,4.887112137E0
2.715478917E0,4.624825984E-2,4.972903715E0,-6.925973146E0,8.526488977E0
2.725401917E0,2.685329111E0,1.293406909E1,-3.589682872E0,1.368893563E1
2.735325917E0,8.392006935E0,2.810888477E1,1.490758039E1,3.290548794E1
2.745248917E0,1.156760871E1,3.434873862E1,5.691635862E0,3.668841963E1
2.755172917E0,1.371568044E1,3.491099986E1,-9.737509144E0,3.875199202E1
2.765096917E0,1.583140888E1,3.457373714E1,-4.216793243E0,3.825909241E1
2.775019917E0,1.536001454E1,2.589955644E1,3.907153353E0,3.036417162E1
2.784943917E0,1.108125485E1,1.546747584E1,3.087709934E0,1.927617625E1
2.794866917E0,6.804668564E0,9.009376429E0,3.350445213E0,1.177700561E1
2.804790917E0,4.074973997E0,6.173058761E0,4.851713154E0,8.845970161E0
2.814713917E0,2.168489334E0,5.939312807E0,3.426112862E0,7.191385955E0
2.824637917E0,1.259510424E0,6.244983607E0,2.291825531E0,6.770424730E0
2.834561917E0,1.270499974E0,5.891454517E0,2.370234354E0,6.476219375E0
2.844484917E0,1.759075772E0,4.735818416E0,2.687354586E0,5.722254653E0
2.854408917E0,1.766495889E0,3.030142926E0,2.571360446E0,4.349042242E0
2.864331917E0,1.561266221E0,1.199255744E0,1.796727163E0,2.665332071E0
2.874255917E0,1.445268280E0,-6.322389632E-1,6.706487381E-1,1.714145920E0
2.884179917E0,1.229733917E0,-3.214745956E0,-2.796664957E-1,3.453266630E0
2.894103417E0,6.177691510E-1,-6.036428627E0,-7.221206081E-1,6.110774703E0
2.904027417E0,1.238427119E-1,-8.155671834E0,-8.643769330E-1,8.202284289E0
2.913950417E0,1.810587403E-1,-9.438616437E0,-1.180033607E0,9.513818467E0
2.923874417E0,5.092694599E-1,-1.115662897E1,-2.112367465E0,1.136625803E1
2.933798417E0,7.083094847E-1,-1.231298954E1,-2.685402786E0,1.262231365E1
2.943721417E0,9.302367541E-1,-1.300414797E1,-2.807663387E0,1.333627304E1
2.953645417E0,7.102662554E-1,-1.367209296E1,-2.646999443E0,1.394407437E1
2.963568417E0,4.595893961E-1,-1.458588295E1,-2.394966906E0,1.478834238E1
2.973492417E0,1.092639953E-1,-1.515181274E1,-2.311993747E0,1.532757916E1
2.983416417E0,-2.941444758E-1,-1.514528724E1,-2.175207492E0,1.530352163E1
2.993339417E0,-7.947553056E-1,-1.508765592E1,-1.438248990E0,1.517687574E1
3.003263417E0,-1.190267989E0,-1.444066267E1,-8.933329296E-1,1.451714573E1
3.013186417E0,-1.405350800E0,-1.309071366E1,-5.696995566E-1,1.317825302E1
3.023110417E0,-1.439959008E0,-1.119105620E1,-2.690379936E-1,1.128652304E1
3.033034417E0,-1.246615267E0,-9.558910035E0,-1.155773071E-1,9.640548158E0
3.042957417E0,-9.642207715E-1,-8.593247048E0,-1.080723327E-1,8.647849221E0
3.052881417E0,-6.691977516E-1,-8.138657606E0,-1.512673958E-1,8.167524415E0
3.062804417E0,-4.445094270E-1,-7.845537854E0,-1.536575183E-3,7.858120336E0
3.072728417E0,-2.023057313E-1,-7.496422827E0,3.173594568E-1,7.505864363E0
3.082652417E0,-4.334979504E-2,-6.995295396E0,8.854502982E-1,7.051245217E0
3.092575417E0,-3.070434335E-1,-6.067017751E0,2.016404132E0,6.400692594E0
3.102499417E0,-8.473521799E-1,-4.836675285E0,3.914531955E0,6.279728812E0
3.112422417E0,-8.322853670E-1,-3.814469723E0,4.664806906E0,6.083033920E0
3.122346417E0,-2.336943524E-1,-4.369121397E0,1.606609478E0,4.661011569E0
3.132270417E0,-6.905563147E-1,-5.188923250E0,-1.188611619E0,5.367922327E0
