Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),walk-jump
2.130902792E0,2.413259043E0,7.733741430E0,5.812556282E0,9.970977196E0,1
2.140824792E0,-2.024185022E0,7.967884995E0,-2.242543443E0,8.521356546E0,1
2.150747792E0,-4.996682003E0,8.662052404E0,-6.896286832E0,1.214729414E1,1
2.160669792E0,-3.941233265E0,1.473774333E1,-6.887698442E-2,1.525579045E1,1
2.170592792E0,-2.389213538E0,2.550170955E1,1.362061875E1,2.900977053E1,1
2.180514792E0,-4.388659868E-1,2.948654024E1,1.333414026E1,3.236430063E1,1
2.190437792E0,-2.505167918E0,2.304092287E1,-2.289206563E0,2.328949248E1,1
2.200359792E0,-4.703602012E0,2.007006253E1,-3.607889348E0,2.092721069E1,1
2.210282792E0,-8.813154981E0,2.134567940E1,2.476785241E0,2.322593798E1,1
2.220204792E0,-1.363831008E1,2.042528322E1,4.865852891E0,2.503741642E1,1
2.230127792E0,-1.369241086E1,1.789168935E1,3.420950063E0,2.278810133E1,1
2.240050792E0,-8.494117447E0,1.506554058E1,5.498679207E-1,1.730384058E1,1
2.249972792E0,-3.816702189E0,1.158509656E1,-2.282176455E0,1.240927102E1,1
2.259895792E0,-1.217767006E0,7.635898801E0,-2.033086384E0,7.995207766E0,1
2.269817792E0,1.461328534E0,3.466554544E0,1.139418848E0,3.930745070E0,1
2.279740792E0,3.983464195E0,7.684188616E-1,4.184366924E0,5.828154175E0,1
2.289662792E0,4.654200642E0,-3.262331182E-1,5.045057187E0,6.871725670E0,1
2.299585792E0,4.087418334E0,-1.080208772E0,3.725494981E0,5.634993565E0,1
2.309507792E0,2.941638300E0,-1.574993729E0,2.011636312E0,3.896218909E0,1
2.319430792E0,2.407856508E0,-2.472920231E0,6.838031461E-1,3.518621062E0,1
2.329352792E0,2.444712971E0,-3.857353787E0,-4.025797013E-1,4.584525075E0,1
2.339275792E0,2.606025371E0,-5.098955652E0,-1.238262520E0,5.858669733E0,1
2.349197792E0,2.946299993E0,-6.378087285E0,-1.767037926E0,7.244522351E0,1
2.359120792E0,3.243652544E0,-7.456793908E0,-2.227702040E0,8.431353011E0,1
2.369042792E0,3.397484601E0,-8.280489423E0,-2.396122316E0,9.265571156E0,1
2.378965792E0,3.554541691E0,-9.160244533E0,-2.069529009E0,1.004130454E1,1
2.388887792E0,3.617296933E0,-9.868299079E0,-1.168187149E0,1.057510402E1,1
2.398810250E0,3.721029170E0,-1.030340794E1,-3.070454435E-1,1.095903965E1,1
2.408732250E0,3.843037464E0,-1.077671081E1,3.389888191E-1,1.144645562E1,1
2.418655250E0,3.840044274E0,-1.097304978E1,5.781001782E-1,1.163992961E1,1
2.428577250E0,3.799188024E0,-1.096076946E1,4.454911745E-1,1.160908090E1,1
2.438500250E0,3.657747386E0,-1.091703580E1,1.292608881E-1,1.151423011E1,1
2.448422250E0,3.512287079E0,-1.080646144E1,-1.798610113E-1,1.136433541E1,1
2.458345250E0,3.413781961E0,-1.062683264E1,-4.388136542E-1,1.117031945E1,1
2.468268250E0,3.499415019E0,-1.023110010E1,-6.967530477E-1,1.083544090E1,1
2.478190250E0,3.724237245E0,-9.848388140E0,-9.117877655E-1,1.056844591E1,1
2.488113250E0,3.977190717E0,-9.562747563E0,-1.142151909E0,1.041963041E1,1
2.498035250E0,4.190053633E0,-9.343117957E0,-1.323690341E0,1.032485151E1,1
2.507958250E0,4.326025663E0,-9.213575233E0,-1.473098541E0,1.028467238E1,1
2.517880250E0,4.349727059E0,-9.190307992E0,-1.578785648E0,1.028953112E1,1
2.527803250E0,4.247785240E0,-9.206077348E0,-1.764534148E0,1.029121569E1,1
