"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.650001292E0,-2.790990052E0,8.404472029E-1,-1.755991366E0,3.402863889E0
1.659960292E0,-3.581307321E0,6.381744719E-1,-2.283613701E0,4.295104226E0
1.669918292E0,-4.271450676E0,3.326738262E-1,-2.759509227E0,5.096160704E0
1.679877667E0,-4.955940943E0,-2.899701485E-1,-3.196892653E0,5.904706254E0
1.689835667E0,-5.557384375E0,-1.179220845E0,-3.247598537E0,6.543850484E0
1.699794667E0,-5.575062262E0,-1.286129289E0,-3.389290606E0,6.650017939E0
1.709752667E0,-5.200946295E0,-1.227323841E0,-2.659075112E0,5.968822885E0
1.719710667E0,-4.116584830E0,-1.333610434E0,-1.239693918E0,4.501291866E0
1.729669667E0,-2.609417633E0,-9.285410616E-1,1.636056056E-1,2.774529813E0
1.739627667E0,-6.569194758E-1,-4.291680872E-2,7.649888849E-1,1.009253707E0
1.749586667E0,3.340286261E-1,2.651431632E-1,1.499513776E0,1.558979662E0
1.759544667E0,1.992403650E-1,4.458507782E-1,2.127121745E0,2.182458833E0
1.769503667E0,-4.811129969E-1,1.931632076E0,-3.783803415E-1,2.026288202E0
1.779461667E0,-3.955699861E-1,1.402195058E0,-3.364062794E0,3.665998510E0
1.789419667E0,-8.843504369E-1,1.058836614E0,-1.103563721E0,1.766653208E0
1.799378667E0,9.189443189E-1,1.913721762E0,8.417207265E-1,2.283699504E0
1.809336667E0,4.022323036E-1,-4.329517620E0,7.778983676E-1,4.417198153E0
1.819295667E0,2.965814198E0,6.388562572E-1,-4.386487627E-1,3.065388053E0
1.829253667E0,3.900377600E0,-3.508960891E-1,-1.145219285E0,4.080147142E0
1.839212667E0,3.138747940E0,-2.632252180E0,-7.970924377E-1,4.173229747E0
1.849170667E0,4.444007272E0,-7.569624120E-1,-1.628200468E0,4.793039692E0
1.859129667E0,6.139542521E0,5.041896182E-1,-2.818904074E0,6.774541292E0
1.869087667E0,7.287945616E0,4.678228605E-1,-3.240917509E0,7.989778209E0
1.879045667E0,7.942602219E0,3.817500919E-1,-2.704347764E0,8.399057088E0
1.889004667E0,8.430688021E0,1.765502447E-1,-5.683352916E-1,8.451667024E0
1.898962667E0,8.772417430E0,1.235224307E-1,5.639514366E0,1.042951042E1
1.908921667E0,9.317995394E0,1.015202937E0,9.178437560E0,1.311866576E1
1.918879667E0,9.770945277E0,2.560170629E0,4.798616928E0,1.118269063E1
1.928838667E0,8.000129465E0,2.109688271E0,7.174404967E-1,8.304671994E0
1.938796667E0,4.517828954E0,-1.560224247E-1,-7.643736847E-1,4.584690675E0
1.948754667E0,2.164184906E0,-2.526484235E0,-3.170371656E-1,3.341755745E0
1.958713667E0,2.186642307E0,-3.844331453E0,1.658551025E-1,4.425810300E0
1.968671667E0,3.656683193E0,-3.353379931E0,2.618850946E-1,4.968407465E0
1.978630667E0,5.105395190E0,-2.219348708E0,2.410607843E-1,5.572134155E0
1.988588667E0,5.059057176E0,-1.969287268E0,3.217711079E-1,5.438353473E0
1.998547667E0,3.964812162E0,-2.044262606E0,4.511770070E-1,4.483559498E0
2.008505667E0,3.257889637E0,-2.305116252E0,1.862968223E-1,3.995261234E0
2.018463667E0,2.411663046E0,-3.050850840E0,-8.258116221E-1,3.975647662E0
2.028422667E0,1.895608842E0,-5.106143634E0,-1.123631511E0,5.561347271E0
2.038380667E0,1.555016717E0,-5.454234229E0,-9.490769215E-1,5.750434333E0
2.048339667E0,1.213967339E0,-4.286015505E0,-1.574888625E0,4.724819551E0
2.058297667E0,8.231143016E-1,-3.691676440E0,-2.086701843E0,4.319758867E0
2.068256667E0,3.623887914E-1,-3.407090115E0,-1.631680877E0,3.794992908E0
2.078214667E0,-2.300160152E-1,-2.497490816E0,2.526352380E-1,2.520752330E0
2.088172667E0,-7.350756991E-1,-1.908924707E0,3.518607627E0,4.070003618E0
2.098131667E0,-4.066358417E-1,-1.751521754E0,8.266758406E0,8.460051756E0
