Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),WalkingJumping
1.961244375E0,-2.565250690E0,-1.878453112E0,-3.040072375E0,4.398992753E0,0
1.971168375E0,-1.311750034E0,-5.197598180E0,-6.016359229E0,8.058057667E0,0
1.981091375E0,3.621657786E0,-3.236319258E0,-3.071563432E0,5.746709439E0,0
1.991014375E0,4.471591220E0,1.508505625E-1,-4.387526970E-1,4.495596496E0,0
2.000937375E0,2.242400771E0,6.366477638E-1,1.946044001E-1,2.339134982E0,0
2.010860375E0,8.357647526E-1,-1.233756655E0,8.022496819E-1,1.692413294E0,0
2.020783375E0,2.029795133E0,-1.565582635E0,1.022597472E0,2.759859210E0,0
2.030706375E0,2.875145518E0,-1.501770802E0,1.363925031E0,3.518816389E0,0
2.040629375E0,2.080612114E0,-1.630905975E0,2.275920081E0,3.488353950E0,0
2.050552375E0,1.434450638E0,-1.976067699E0,3.356181332E0,4.150475312E0,0
2.060475375E0,1.753922621E0,-3.375750208E0,3.486789418E0,5.160390923E0,0
2.070398375E0,2.025494213E0,-4.996973194E0,2.855713759E0,6.101431716E0,0
2.080321375E0,1.463643740E0,-6.470793135E0,2.420162559E0,7.061912178E0,0
2.090244375E0,9.038976789E-2,-5.495985103E0,2.401437435E0,5.998410149E0,0
2.100167375E0,-4.946402380E-1,-2.058617520E-1,4.035909626E0,4.071316070E0,0
2.110090375E0,-2.206123475E0,5.354378403E0,6.963007071E0,9.056479247E0,0
2.120013375E0,-1.248886618E0,5.764161801E0,6.333858361E0,8.654654285E0,0
2.129936375E0,-7.647900796E-1,3.537048576E0,3.337947375E0,4.923160486E0,0
2.139859375E0,-1.967676945E0,1.915167779E0,1.117629929E0,2.964577008E0,0
2.149782375E0,-3.406170933E0,4.887336731E-2,-3.752228451E-1,3.427124336E0,0
2.159705375E0,-3.525744154E0,-2.684298831E0,-1.605339170E0,4.713114247E0,0
2.169628375E0,-2.937787909E0,-4.456622640E0,-2.409761531E0,5.856537696E0,0
2.179551375E0,-2.078484605E0,-4.532958625E0,-2.222603853E0,5.459650175E0,0
2.189474375E0,-1.367894414E0,-2.954967028E0,-2.174967756E0,3.915794939E0,0
2.199397375E0,-7.295597282E-1,-7.909411669E-2,-2.327823329E0,2.440752902E0,0
2.209320375E0,4.027030045E-1,2.691987920E0,-2.278832286E0,3.549935952E0,0
2.219244375E0,1.256084248E0,4.624095082E0,-1.018127568E0,4.898631106E0,0
2.229167375E0,1.152752253E-1,6.017866057E0,6.639865668E-1,6.055483334E0,0
2.239090375E0,-1.076886384E0,5.290028626E0,1.893901309E0,5.721096863E0,0
2.249013375E0,-1.319177459E0,2.704807940E0,1.419219957E0,3.327221130E0,0
2.258936375E0,-1.068067906E0,-8.607686162E-2,4.812423666E-1,1.174637175E0,0
2.268859375E0,-4.507106915E-1,-2.436990845E0,5.012301962E-1,2.528496829E0,0
2.278782375E0,9.088806760E-1,-3.119112405E0,5.050086670E-1,3.287850367E0,0
2.288705375E0,1.847091863E0,-2.928390849E0,8.805801523E-1,3.572484110E0,0
2.298628375E0,1.533505103E0,-3.114661505E0,1.507636582E0,3.784933586E0,0
2.308551375E0,5.144508970E-1,-2.655335233E0,1.599463596E0,3.142252173E0,0
2.318474375E0,-1.020401989E0,-2.432539945E0,1.591888089E0,3.081002838E0,0
2.328397375E0,-2.373742975E0,-2.417186326E0,1.356705036E0,3.649396388E0,0
2.338320375E0,-2.680845466E0,-1.521206946E0,1.439187175E0,3.401802862E0,0
2.348243375E0,-2.256086179E0,3.697749943E-1,1.720277888E0,2.861121180E0,0
2.358166375E0,-1.180863620E0,2.881659316E0,2.324509420E0,3.886096158E0,0
2.368089375E0,3.988830185E-1,3.913968283E0,1.950041742E0,4.391004234E0,0
2.378012375E0,1.335953706E0,2.890733610E0,8.061696553E-1,3.284969197E0,0
2.387935375E0,1.750024575E0,1.882853141E0,-4.755394310E-2,2.570988787E0,0
2.397858375E0,2.303455935E0,1.370774460E0,-4.147883222E-1,2.712375567E0,0
2.407781375E0,2.674390432E0,1.184131336E0,-8.593990521E-1,3.048458288E0,0
2.417704375E0,1.931684701E0,3.120518661E-1,-1.717052418E0,2.603277004E0,0
2.427627375E0,4.379856884E-1,-1.492380173E0,-1.074217861E0,1.890231218E0,0
2.437550375E0,-9.665234050E-1,-2.248228691E0,-1.271891173E0,2.757971518E0,0
2.447474375E0,-1.802617648E0,-1.835006545E0,-1.029566038E0,2.770683243E0,0
2.457397375E0,-2.007323406E0,1.689351234E0,-2.971053596E-1,2.640364831E0,0
2.467320375E0,-7.483222738E-1,4.017479787E0,4.410190777E-1,4.110307518E0,0
2.477243375E0,2.691429511E-1,4.302425716E0,-2.252569664E-1,4.316717001E0,0
2.487166375E0,1.938743752E-1,4.356066903E0,-7.372939865E-1,4.422274139E0,0
2.497089375E0,-9.912989348E-2,3.556478289E0,-1.261094581E0,3.774748216E0,0
2.507012375E0,-3.202144329E-1,2.320078107E0,-1.625679002E0,2.850987886E0,0
2.516935375E0,-1.841811535E-1,8.590378404E-2,-1.682092939E0,1.694325474E0,0
2.526858375E0,1.272387163E0,-2.914518914E0,-1.979974809E0,3.746156675E0,0
2.536781375E0,3.235870777E0,-4.184973280E0,-1.892812411E0,5.618505127E0,0
2.546704375E0,4.461863499E0,-4.104554184E0,-1.141993961E0,6.169257747E0,0
2.556627375E0,4.647772213E0,-4.512366486E0,-4.805990267E-1,6.495707295E0,0
2.566550375E0,3.001646520E0,-3.025267518E0,-1.105421966E0,4.402735867E0,0
2.576473375E0,1.246104513E0,-1.841706870E0,-1.326597576E0,2.589309132E0,0
2.586396375E0,-4.468801805E-1,-9.810704005E-1,-7.266218678E-1,1.300069369E0,0
2.596319375E0,-1.914455296E0,-9.526394838E-1,-1.274909359E0,2.489589311E0,0
